Open,High,Low,Close,Adj Close,Volume
0.664286,0.707143,0.650000,0.685714,0.685714,5647600
0.675000,0.678571,0.632857,0.657143,0.657143,2004800
0.663571,0.665714,0.635714,0.641429,0.641429,1423800
0.636429,0.642857,0.623571,0.640714,0.640714,1659000
0.628571,0.642857,0.607143,0.638571,0.638571,2126600
0.642857,0.702857,0.639286,0.671429,0.671429,3589600
0.672143,0.676429,0.650714,0.651429,0.651429,1045800
0.664286,0.664286,0.612857,0.629286,0.629286,7032200
0.632143,0.637857,0.592857,0.592857,0.592857,2585800
0.605000,0.612857,0.553571,0.610714,0.610714,4922400
0.607143,0.607143,0.585714,0.600714,0.600714,371000
0.600000,0.614286,0.572143,0.577857,0.577857,2191000
0.579286,0.642857,0.555714,0.641429,0.641429,3231200
0.642857,0.645000,0.618571,0.618571,0.618571,931000
0.642143,0.653571,0.589286,0.650000,0.650000,2045400
0.648571,0.780714,0.625000,0.778571,0.778571,10061800
0.720000,0.720714,0.623571,0.664286,0.664286,28194600
0.674286,0.727857,0.660714,0.717143,0.717143,10085600
0.728571,0.785714,0.717857,0.785714,0.785714,10516800
0.757143,0.800000,0.752143,0.786429,0.786429,4492600
0.792857,0.796429,0.753571,0.792857,0.792857,4771200
0.771429,0.785714,0.748571,0.749286,0.749286,1771000
0.761429,0.765714,0.743571,0.751429,0.751429,1069600
0.750000,0.795000,0.742857,0.775000,0.775000,932400
0.742857,0.796429,0.724286,0.761429,0.761429,2009000
0.750000,0.789286,0.739286,0.770714,0.770714,1164800
0.742857,0.750000,0.696429,0.710000,0.710000,2468200
0.858571,0.864286,0.770000,0.785714,0.785714,12632200
0.785000,0.797857,0.737857,0.782143,0.782143,3883600
0.795714,0.800000,0.763571,0.799286,0.799286,4068400
0.800000,0.872857,0.799286,0.871429,0.871429,3236800
0.854286,0.928571,0.840714,0.897143,0.897143,4895800
0.905714,0.914286,0.885714,0.900714,0.900714,2534000
0.900000,0.914286,0.860714,0.892857,0.892857,1395800
0.898571,0.927857,0.867857,0.913571,0.913571,2098600
0.914286,0.927143,0.892857,0.906429,0.906429,1680000
0.896429,0.898571,0.763571,0.785000,0.785000,13378400
0.770714,0.799286,0.758571,0.771429,0.771429,3781400
0.764286,0.771429,0.728571,0.764286,0.764286,4384800
0.739286,0.760714,0.727857,0.732143,0.732143,3311000
0.728571,0.732143,0.699286,0.707143,0.707143,4895800
0.702143,0.714286,0.684286,0.696429,0.696429,2122400
0.692857,0.708571,0.685714,0.690714,0.690714,4592000
0.703571,0.714286,0.685714,0.713571,0.713571,5198200
0.712857,0.800000,0.692857,0.786429,0.786429,11369400
0.846429,0.900000,0.810714,0.817857,0.817857,8397200
0.850000,0.850000,0.771429,0.772857,0.772857,3248000
0.785714,0.800000,0.762143,0.792857,0.792857,3003000
0.771429,0.795714,0.771429,0.783571,0.783571,1937600
0.771429,0.857143,0.762143,0.815000,0.815000,5356400
0.825000,0.845714,0.809286,0.838571,0.838571,5322800
0.835000,0.907143,0.828571,0.886429,0.886429,5434800
0.857857,0.883571,0.855000,0.867143,0.867143,4408600
0.871429,0.882143,0.836429,0.860000,0.860000,2549400
0.849286,0.882143,0.847857,0.871429,0.871429,9430400
0.907143,0.956429,0.857143,0.857143,0.857143,18653600
0.842857,0.850000,0.789286,0.817143,0.817143,5364800
0.826429,0.850000,0.792857,0.814286,0.814286,6081600
0.812857,0.853571,0.805714,0.828571,0.828571,4173400
0.850714,0.905714,0.835714,0.870000,0.870000,7219800
0.875000,0.884286,0.846429,0.880714,0.880714,6353200
0.864286,0.877143,0.836429,0.877143,0.877143,3439800
0.859286,0.917857,0.850714,0.896429,0.896429,4946200
0.900000,0.900000,0.845000,0.881429,0.881429,2956800
0.892857,0.911429,0.882143,0.902143,0.902143,3700200
0.905714,0.946429,0.890000,0.942857,0.942857,4019400
0.938571,0.941429,0.892857,0.914286,0.914286,2836400
0.900000,0.910714,0.860714,0.878571,0.878571,2039800
0.875714,0.885714,0.844286,0.852857,0.852857,3484600
0.854286,0.857143,0.824286,0.832143,0.832143,3735200
0.842857,0.875000,0.835000,0.870000,0.870000,5016200
0.873571,0.912143,0.867857,0.890714,0.890714,7305200
0.921429,0.935714,0.900714,0.927143,0.927143,4790800
0.955000,0.957143,0.928571,0.948571,0.948571,5615400
0.950714,0.950714,0.944286,0.944286,0.944286,6092800
0.952143,1.020000,0.947143,1.017143,1.017143,8435000
1.022143,1.056429,1.002857,1.047143,1.047143,6267800
1.058571,1.089286,1.048571,1.081429,1.081429,5118400
1.106429,1.125000,1.074286,1.098571,1.098571,6339200
1.100000,1.100000,1.032857,1.064286,1.064286,6255200
1.024286,1.042143,1.000714,1.002857,1.002857,12339600
